codice,codice_parlante,utenza,cliente,data,imponibile,iva,totale,data_scadenza,stato_pagamento,data_pagamento,indirizzo_fatturazione,città_fatturazione
1f774f20-bda2-46bc-9192-3780d9f8288c,FAT-25062024-001,564c5dde-60cc-4b4c-b3ef-ed5c7e6c3acf,86e38cc8-54b0-48c5-8e6e-b8da5f40178c,2024-06-25,37.15,3.71,40.86,2024-07-25,Pagata,2024-07-21,Largo Tevere 13,Torre de' Roveri
c3b3bdde-947d-4ddc-ae4b-947d0648edc9,FAT-25122024-001,564c5dde-60cc-4b4c-b3ef-ed5c7e6c3acf,86e38cc8-54b0-48c5-8e6e-b8da5f40178c,2024-12-25,41.35,4.14,45.49,2025-01-24,Pagata,2025-01-11,Largo Tevere 13,Torre de' Roveri
3a56441b-4de3-4e79-8088-82af01c7f286,FAT-25062025-001,564c5dde-60cc-4b4c-b3ef-ed5c7e6c3acf,86e38cc8-54b0-48c5-8e6e-b8da5f40178c,2025-06-25,42.7,4.27,46.97,2025-07-25,Pagata,2025-07-06,Largo Tevere 13,Torre de' Roveri
da97d6f6-c810-4748-a9cf-a64b8237b063,FAT-25122025-001,564c5dde-60cc-4b4c-b3ef-ed5c7e6c3acf,86e38cc8-54b0-48c5-8e6e-b8da5f40178c,2025-12-25,38.55,3.85,42.4,2026-01-24,Pagata,2026-01-03,Largo Tevere 13,Torre de' Roveri
93240b47-32a9-42f4-b8d4-c64a79c595bc,FAT-25062026-001,564c5dde-60cc-4b4c-b3ef-ed5c7e6c3acf,86e38cc8-54b0-48c5-8e6e-b8da5f40178c,2026-06-25,38.5,3.85,42.35,2026-07-25,Pagata,2026-07-26,Largo Tevere 13,Torre de' Roveri
35ec4f59-714a-4685-b784-72bca0c55bca,FAT-15042023-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2023-04-15,461.25,101.47,562.72,2023-05-15,Pagata,2023-05-12,Largo Primule 54,Misinto
dae7c2e8-524b-4bb0-9d32-0162c558cb9a,FAT-15062023-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2023-06-15,544.75,119.84,664.59,2023-07-15,Pagata,2023-06-26,Largo Primule 54,Misinto
f7c1ee23-2640-4e65-8992-cc2545442fa3,FAT-15082023-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2023-08-15,848.95,186.77,1035.72,2023-09-14,Pagata,2023-09-15,Largo Primule 54,Misinto
c1004fc7-6395-43e4-aa67-73ee8c7aa9e5,FAT-15102023-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2023-10-15,750.3,165.07,915.37,2023-11-14,Pagata,2023-11-06,Largo Primule 54,Misinto
77a02ddb-bdd9-4044-8899-b39994043955,FAT-15122023-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2023-12-15,414.75,91.25,506.0,2024-01-14,Pagata,2023-12-27,Largo Primule 54,Misinto
5e9fdc16-3d96-4b3a-a4d3-af0c1c2cc4fc,FAT-15022024-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2024-02-15,367.95,80.95,448.9,2024-03-16,Pagata,2024-02-19,Largo Primule 54,Misinto
739edd17-5413-4c9f-9df9-c9aa74dbdeee,FAT-15042024-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2024-04-15,425.0,93.5,518.5,2024-05-15,Pagata,2024-04-29,Largo Primule 54,Misinto
73d5c7d0-f12f-46a9-b62c-b85dbd9e0f09,FAT-15062024-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2024-06-15,526.55,115.84,642.39,2024-07-15,Pagata,2024-07-07,Largo Primule 54,Misinto
0b66274e-b3d0-4965-8fdf-46d44614f566,FAT-15082024-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2024-08-15,848.95,186.77,1035.72,2024-09-14,Scaduta,NULL,Largo Primule 54,Misinto
d375c547-1bf9-45f4-af2d-52b85476e04e,FAT-15102024-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2024-10-15,674.9,148.48,823.38,2024-11-14,Pagata,2024-10-16,Largo Primule 54,Misinto
582be157-8d34-4058-93f2-8fa97731fa69,FAT-15122024-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2024-12-15,482.35,106.12,588.47,2025-01-14,Pagata,2024-12-29,Largo Primule 54,Misinto
d0c6b04b-ccea-46e3-bf79-b8852ebef395,FAT-15022025-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2025-02-15,401.75,88.39,490.14,2025-03-17,Pagata,2025-03-17,Largo Primule 54,Misinto
2c59858a-610a-41ea-b642-8885c597dae5,FAT-15042025-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2025-04-15,445.65,98.04,543.69,2025-05-15,Pagata,2025-04-19,Largo Primule 54,Misinto
5d8159a7-0448-4f63-b2a7-6b8b7a680c47,FAT-15062025-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2025-06-15,549.95,120.99,670.94,2025-07-15,Pagata,2025-07-05,Largo Primule 54,Misinto
7e0ca325-3d1b-4997-9fa0-53f6aeaf2daf,FAT-15082025-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2025-08-15,945.15,207.93,1153.08,2025-09-14,Pagata,2025-09-16,Largo Primule 54,Misinto
44cdff8d-13d3-4b6c-8aad-2204c04ef304,FAT-15102025-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2025-10-15,669.7,147.33,817.03,2025-11-14,Pagata,2025-10-24,Largo Primule 54,Misinto
64b12c3b-f0d4-4ded-8be8-5d5e8a0e9d21,FAT-15122025-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2025-12-15,469.35,103.26,572.61,2026-01-14,Pagata,2025-12-28,Largo Primule 54,Misinto
01f69277-30a2-4d40-9e82-21bdc7bc813e,FAT-15022026-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2026-02-15,404.35,88.96,493.31,2026-03-17,Pagata,2026-03-04,Largo Primule 54,Misinto
3d863134-2891-44d8-bbab-86ca6d5bb22e,FAT-15042026-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2026-04-15,450.85,99.19,550.04,2026-05-15,Pagata,2026-04-19,Largo Primule 54,Misinto
ced78719-11fe-4328-8adb-faead08758a4,FAT-15062026-001,8212f09f-a86d-4820-a551-01e8e91084dc,014c5b21-bcb9-4736-85c5-d825247838a5,2026-06-15,573.35,126.14,699.49,2026-07-15,Pagata,2026-07-17,Largo Primule 54,Misinto
1cb00741-cd6b-41bc-b306-cf2f1339ece8,FAT-05082023-001,2faec82d-060a-46f6-834f-2335b40f4e18,6509c024-edd5-4c45-88c2-0f142359fbe1,2023-08-05,236.84,23.68,260.52,2023-09-04,Pagata,2023-08-31,Largo Maggiore 19,Albino
