codice,codice_parlante,codice_pod,cliente,dataAp,stato,dataCh,tipologia,componenti_nucleo,indirizzo_fatturazione,città_fatturazione
564c5dde-60cc-4b4c-b3ef-ed5c7e6c3acf,U-14122023-001,IT66384871009,86e38cc8-54b0-48c5-8e6e-b8da5f40178c,2023-12-14,attiva,NULL,Domestico Residente,3,Largo Tevere 13,Torre de' Roveri
8212f09f-a86d-4820-a551-01e8e91084dc,U-22012023-001,IT91503593483,014c5b21-bcb9-4736-85c5-d825247838a5,2023-01-22,attiva,NULL,Commerciale,NULL,Largo Primule 54,Misinto
2faec82d-060a-46f6-834f-2335b40f4e18,U-09032023-001,IT96735405470,6509c024-edd5-4c45-88c2-0f142359fbe1,2023-03-09,attiva,NULL,Domestico Residente,1,Largo Maggiore 19,Albino
89fc6004-7a3c-4bed-8c5e-7226ea6b0675,U-09092024-001,IT81766726658,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2024-09-09,attiva,NULL,Commerciale,NULL,Largo Azzurra 24,Cologno al Serio
5a0217ca-c762-43f7-b33c-7eff55fbcb0b,U-04122025-001,IT41734701857,bef8c845-96a7-4d9e-9b53-bfe09003ba19,2025-12-04,inattiva,2028-05-04,Industriale,NULL,Largo Azzurra 24,Cologno al Serio
4026473c-9186-4e01-84e0-a881284278a0,U-09052028-001,IT41734701857,38583dd3-c6a6-4d5c-8f1e-c98a4552fcb6,2028-05-09,attiva,NULL,Commerciale,NULL,Piazza Castiglione 45,Villa d'Almè
a0a40d01-174e-4d5a-ab5b-919bca63670c,U-25092023-001,IT41920510510,20e4b652-9fd7-45fe-a702-a7ab00ec581c,2023-09-25,attiva,NULL,Domestico Residente,4,Corso XI Febbraio 135,Stezzano
7f1a2cd6-2866-4e74-ba29-b91415343d5a,U-17072024-001,IT84214117803,c8933da3-0524-4174-aacc-961da0b159f6,2024-07-17,attiva,NULL,Domestico Residente,4,Vicolo Maderno 117,Osio Sotto
a9b8ceeb-c138-4b6d-a890-5ec8903c6e4c,U-26122024-001,IT57169522187,c8933da3-0524-4174-aacc-961da0b159f6,2024-12-26,inattiva,2025-07-29,Domestico Non Residente,NULL,Vicolo Maderno 117,Osio Sotto
45bd35db-e2cd-4335-bc9e-192e1dc9d09a,U-28012025-001,IT68733729791,ee59e4e3-5ca2-4c53-be84-8f2772475d5b,2025-01-28,attiva,NULL,Domestico Residente,1,Vicolo Dei Pastori 62,Chiuduno
87403c5e-4cac-4db8-96c0-06510b24aac2,U-18122025-001,IT11984105412,1e5860f4-fcfa-45fb-a191-fd9d0a20607c,2025-12-18,attiva,NULL,Domestico Residente,2,Piazza Foggia 113,Triuggio
661ad163-549f-407f-9efa-521dd18206d5,U-27082025-001,IT57169522187,f8c7936b-1d24-4805-879d-d6efa565f345,2025-08-27,attiva,NULL,Domestico Residente,5,Viale Marco Minghetti 135,Bernareggio
b91c35f4-b047-4e67-80d7-fee044db447a,U-31082023-001,IT76419757781,8ddad25e-afc1-4ee4-a36b-c6f018b74c26,2023-08-31,attiva,NULL,Domestico Residente,2,Vicolo Bernini 44,Terno d'Isola
6c7b6ec6-da88-46f5-9092-b1bef6f7014d,U-20112025-001,IT74987997727,dcee8ed2-4a84-437e-9807-e6d6b95f60e8,2025-11-20,attiva,NULL,Domestico Residente,3,Vicolo Roma 107,Martinengo
1e2b1868-7b96-4962-8c4f-d4ac50198bb8,U-24062023-001,IT50538612847,29a65139-6319-471b-bc7d-5445e2acddd4,2023-06-24,attiva,NULL,Domestico Residente,4,Vicolo Tulipani 41,Carate Brianza
84afda47-e366-44bd-94cc-943060ba5d5d,U-17102024-001,IT54782967879,8e8a3944-c1f3-4c73-884b-1b9c01ec1c56,2024-10-17,attiva,NULL,Domestico Residente,5,Vicolo VIII Settembre 108,Villa d'Almè
d9d36ec4-4fd9-4619-b03a-a10de3631435,U-11092025-001,IT88500521769,16a50f06-c816-417b-a9d7-f6f0063da102,2025-09-11,attiva,NULL,Domestico Residente,4,Viale Amerigo Vespucci 28,Muggiò
9a1e4378-2da8-4899-9bb2-4f6025db0dea,U-12072023-001,IT48170686892,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2023-07-12,attiva,NULL,Industriale,NULL,Piazza Fratelli Bandiera 35,Arcore
ae7c7460-9b7b-46be-94e5-04246e040f73,U-17112022-001,IT17094158874,7e2bee49-41c0-4b72-84cf-ecca6101f33d,2022-11-17,attiva,NULL,Industriale,NULL,Piazza Fratelli Bandiera 35,Arcore
fa5d1e78-248e-4457-bbfd-7aa97d0341de,U-21022025-001,IT76225930141,ac67812f-6f44-42bc-bbf1-0a2967a5f000,2025-02-21,attiva,NULL,Domestico Residente,4,Via Manzoni 32,Brignano Gera d'Adda
